A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!
J!/projects/HEP_Instrumentation/cad/designs/uob-hep-pc049a/trunk/design_files/worklib/pc049a_toplevel/physical/02_09_2014_pc049a_toplevel_36_a16-5.brd!Fri Oct  3 09:30:51 2014!-300.0000!-200.0000!500.0000!350.0000!0.0001!millimeters!PC049A_TOPLEVEL!62.755906 mil!10!UP TO DATE!
S!C40!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,6.3V!!
S!C94!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,6.3V!!
S!C83!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,6.3V!!
S!C85!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,6.3V!!
S!L9!!!!FERRITE!!FERRITE_C0805-LI0805H121R-10,LI0805H121R-10!!
S!L1!!!!FERRITE!!FERRITE_C0805-LI0805H121R-10,LI0805H121R-10!!
S!L2!!!!FERRITE!!FERRITE_C0805-LI0805H121R-10,LI0805H121R-10!!
S!L3!!!!FERRITE!!FERRITE_C0805-LI0805H121R-10,LI0805H121R-10!!
S!L4!!!!FERRITE!!FERRITE_C0805-LI0805H121R-10,LI0805H121R-10!!
S!RG1!!!!LT3070!!LT3070EUFD#PBF!!
S!IC10!!!!LTM4606!!LTM4606EV#PBF!!
S!IC14!!!!LTM4606!!LTM4606EV#PBF!!
S!IC4!!!!LTM4606!!LTM4606EV#PBF!!
S!R13!!!!RSMD0402!!RSMD0402_1/16W-47K,1%!!
S!R72!!!!RSMD0603!!RSMD0603_1/10W-100K,1%!!
S!R73!!!!RSMD0603!!RSMD0603_1/10W-100K,1%!!
S!R74!!!!RSMD0603!!RSMD0603_1/10W-100K,1%!!
S!R10!!!!RSMD0603!!RSMD0603_1/10W-100K,1%!!
S!R43!!!!RSMD0603!!RSMD0603_1/10W-100K,1%!!
S!R38!!!!RSMD0603!!RSMD0603_1/10W-100K,1%!!
S!R12!!!!RSMD0603!!RSMD0603_1/10W-390K,1%!!
S!R45!!!!RSMD0603!!RSMD0603_1/10W-390K,1%!!
S!R40!!!!RSMD0603!!RSMD0603_1/10W-390K,1%!!
S!R18!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R19!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R22!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R23!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R24!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R8!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R9!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R41!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R42!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R36!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R37!!!!RSMD0603!!RSMD0603_1/10W-XX,1%!!
S!R39!!!!RSMD0603!!RSMD0603_1/16W-40.2K,1%!!
S!LK1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK2!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK3!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK4!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK5!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK6!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK7!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK8!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK9!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK1_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK2_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK3_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK4_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK5_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK6_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK7_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK8_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK9_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK10_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK11_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK12_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK13_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK14_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK15_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK16_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK17_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK18_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK19_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK20_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
S!LK21_1!!!!1-HOLE!!1-HOLE_0-8-BASE!!
